ATC	Name	DrugBankID	ChemicalSubgroups	PharmacologicalSubgroup	TherapeuticSubgroup	Dispensations	WomenDispensations	MenDispensations	NameSource	IDSource
H03CA92			Iodine therapy	Iodine therapy	Thyroid therapy	170244	168673	1571		
H04AA01	Glucagon recombinant	DB00040	Glycogenolytic hormones	Glycogenolytic hormones	Pancreatic hormones	65656	32236	33420	DrugBank	DrugBank
H05AA02	Teriparatide	DB06285	Parathyroid hormones and analogues	Parathyroid hormones and analogues	Calcium homeostasis	12449	10669	1780	DrugBank	DrugBank
H05AA03	Parathyroid hormone	DB05829	Parathyroid hormones and analogues	Parathyroid hormones and analogues	Calcium homeostasis	3466	3070	396	DrugBank	DrugBank
H05BA01	Salmon Calcitonin	DB00017	Calcitonin preparations	Anti-parathyroid agents	Calcium homeostasis	34247	26061	8186	DrugBank	DrugBank
H05BA04	Elcatonin	DB13742	Calcitonin preparations	Anti-parathyroid agents	Calcium homeostasis	1652	1302	350	WHOCC	DrugBankWeb
H05BX02	Paricalcitol	DB00910	Other anti-parathyroid agents	Anti-parathyroid agents	Calcium homeostasis	7258	2934	4324	DrugBank	DrugBank
J01AA02	Doxycycline	DB00254	Tetracyclines	Tetracyclines	Antibacterials for systemic use	117386	61622	55764	DrugBank	DrugBank
J01AA06	Oxytetracycline	DB00595	Tetracyclines	Tetracyclines	Antibacterials for systemic use	315	194	121	DrugBank	DrugBank
J01AA07	Tetracycline	DB00759	Tetracyclines	Tetracyclines	Antibacterials for systemic use	2780	1772	1008	DrugBank	DrugBank
J01AA08	Minocycline	DB01017	Tetracyclines	Tetracyclines	Antibacterials for systemic use	40512	21992	18520	DrugBank	DrugBank
J01AA92			Tetracyclines	Tetracyclines	Antibacterials for systemic use	3402	1888	1514		
J01AA94			Tetracyclines	Tetracyclines	Antibacterials for systemic use	31	16	15		
J01CA01	Ampicillin	DB00415	Penicillins with extended spectrum	Beta-lactam antibacterials	Antibacterials for systemic use	5000	3344	1656	DrugBank	DrugBank
J01CA04	Amoxicillin	DB01060	Penicillins with extended spectrum	Beta-lactam antibacterials	Antibacterials for systemic use	2669925	1466450	1203475	DrugBank	DrugBank
J01CA51	Ampicillin, combinations	DB00415	Penicillins with extended spectrum	Beta-lactam antibacterials	Antibacterials for systemic use	3	3	0	DrugBank-corrected	DrugBank
J01CE01	Benzylpenicillin	DB01053	Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	1110	587	523	DrugBank	DrugBank
J01CE02	Phenoxymethylpenicillin	DB00417	Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	106771	61446	45325	DrugBank	DrugBank
J01CE08	Benzathine benzylpenicillin	DB09323	Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	13797	6719	7078	DrugBank	DrugBank
J01CE09	Procaine benzylpenicillin	DB09320	Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	12553	7103	5450	DrugBank	DrugBank
J01CE10	Benzathine phenoxymethylpenicillin	DB00417	Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	2820	1420	1400	DrugBank-corrected	DrugBank
J01CE30	Combinations		Beta-lactamase sensitive penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	3193	1879	1314	WHOCC	
J01CF02	Cloxacillin	DB01147	Beta-lactamase resistant penicillins	Beta-lactam antibacterials	Antibacterials for systemic use	264896	145176	119720	DrugBank	DrugBank
J01CR02	Amoxicillin and enzyme inhibitor	DB01060	Combinations of penicillins, incl. beta-lactamase inhibitors	Beta-lactam antibacterials	Antibacterials for systemic use	2660499	1401435	1259064	DrugBank-corrected	DrugBank
J01DB01	Cephalexin	DB00567	First-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	7278	4772	2506	DrugBank	DrugBank
J01DB03	Cefalotin	DB00456	First-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	7	4	3	DrugBank	DrugBank
J01DB04	Cefazolin	DB01327	First-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	108	79	29	DrugBank	DrugBank
J01DB05	Cefadroxil	DB01140	First-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	10417	5336	5081	DrugBank	DrugBank
J01DB09	Cefradine	DB01333	First-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	168	112	56	DrugBank	DrugBank
J01DC01	Cefoxitin	DB01331	Second-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	65	45	20	DrugBank	DrugBank
J01DC02	Cefuroxime	DB01112	Second-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	388967	251591	137376	DrugBank	DrugBank
J01DC04	Cefaclor	DB00833	Second-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	7162	4049	3113	DrugBank	DrugBank
J01DC06	Cefonicid	DB01328	Second-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	12583	7813	4770	DrugBank	DrugBank
J01DC10	Cefprozil	DB01150	Second-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	49	26	23	DrugBank	DrugBank
J01DD01	Cefotaxime	DB00493	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	353	235	118	DrugBank	DrugBank
J01DD02	Ceftazidime	DB00438	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	276	130	146	DrugBank	DrugBank
J01DD04	Ceftriaxone	DB01212	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	7307	2670	4637	DrugBank	DrugBank
J01DD08	Cefixime	DB00671	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	137289	83196	54093	DrugBank	DrugBank
J01DD13	Cefpodoxime	DB01416	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	9650	5205	4445	DrugBank	DrugBank
J01DD14	Ceftibuten	DB01415	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	8239	4790	3449	DrugBank	DrugBank
J01DD16	Cefditoren	DB01066	Third-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	61944	32908	29036	DrugBank	DrugBank
J01DE01	Cefepime	DB01413	Fourth-generation cephalosporins	other beta-lactam antibacterials	Antibacterials for systemic use	63	33	30	DrugBank	DrugBank
J01DF01	Aztreonam	DB00355	Monobactams	other beta-lactam antibacterials	Antibacterials for systemic use	164	82	82	DrugBank	DrugBank
J01DH51	Imipenem	DB01598	Carbapenems	other beta-lactam antibacterials	Antibacterials for systemic use	4	3	1	DrugBank	DrugBank
J01EA01	Trimethoprim	DB00440	Trimethoprim and derivatives	Sulfonamides and trimethoprim	Antibacterials for systemic use	173	102	71	DrugBank	DrugBank
J01EC02	Sulfadiazine	DB00359	Intermediate-acting sulfonamides	Sulfonamides and trimethoprim	Antibacterials for systemic use	300	151	149	DrugBank	DrugBank
J01EE01	Sulfamethoxazole and trimethoprim	DB00440	Combinations of sulfonamides and trimethoprim, incl. derivatives	Sulfonamides and trimethoprim	Antibacterials for systemic use	116430	67125	49305	DrugBank-corrected	DrugBank
J01EE01	Sulfamethoxazole and trimethoprim	DB01015	Combinations of sulfonamides and trimethoprim, incl. derivatives	Sulfonamides and trimethoprim	Antibacterials for systemic use	116430	67125	49305	DrugBank-corrected	DrugBank
J01FA01	Erythromycin	DB00199	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	92560	58359	34201	DrugBank	DrugBank
J01FA02	Spiramycin	DB06145	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	49002	29978	19024	DrugBank	DrugBank
J01FA06	Roxithromycin	DB00778	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	4259	2634	1625	DrugBank	DrugBank
J01FA07	Josamycin	DB01321	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	28792	17039	11753	DrugBank	DrugBank
J01FA09	Clarithromycin	DB01211	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	526409	316112	210297	DrugBank	DrugBank
J01FA10	Azithromycin	DB00207	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	1049195	618137	431058	DrugBank	DrugBank
J01FA11	Miocamycin	DB13287	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	14336	8886	5450	WHOCC	DrugBankWeb
J01FA15	Telithromycin	DB00976	Macrolides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	1629	943	686	DrugBank	DrugBank
J01FF01	Clindamycin	DB01190	Lincosamides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	206350	122134	84216	DrugBank	DrugBank
J01FF02	Lincomycin	DB01627	Lincosamides	Macrolides, lincosamides and streptogramins	Antibacterials for systemic use	2825	1798	1027	DrugBank	DrugBank
J01GA01	Streptomycin	DB01082	Streptomycins	Aminoglycoside antibacterials	Antibacterials for systemic use	68	21	47	DrugBank	DrugBank
J01GB01	Tobramycin	DB00684	Other aminoglycosides	Aminoglycoside antibacterials	Antibacterials for systemic use	985	538	447	DrugBank	DrugBank
J01GB03	Gentamicin	DB00798	Other aminoglycosides	Aminoglycoside antibacterials	Antibacterials for systemic use	6389	3680	2709	DrugBank	DrugBank
J01GB06	Amikacin	DB00479	Other aminoglycosides	Aminoglycoside antibacterials	Antibacterials for systemic use	512	275	237	DrugBank	DrugBank
J01MA01	Ofloxacin	DB01165	Fluoroquinolones	Quinolone antibacterials	Antibacterials for systemic use	13543	5855	7688	DrugBank	DrugBank
J01MA02	Ciprofloxacin	DB00537	Fluoroquinolones	Quinolone antibacterials	Antibacterials for systemic use	890518	458953	431565	DrugBank	DrugBank
J01MA06	Norfloxacin	DB01059	Fluoroquinolones	Quinolone antibacterials	Antibacterials for systemic use	406852	333743	73109	DrugBank	DrugBank
J01MA12	Levofloxacin	DB01137	Fluoroquinolones	Quinolone antibacterials	Antibacterials for systemic use	543257	292937	250320	DrugBank	DrugBank
J01MA14	Moxifloxacin	DB00218	Fluoroquinolones	Quinolone antibacterials	Antibacterials for systemic use	185469	101737	83732	DrugBank	DrugBank
J01MB04	Pipemidic acid	DB13823	Other quinolones	Quinolone antibacterials	Antibacterials for systemic use	15330	13512	1818	WHOCC	DrugBankWeb
J01RA04	Spiramycin, combinations with other antibacterials	DB00916	Combinations of antibacterials	Combinations of antibacterials	Antibacterials for systemic use	74462	44132	30330	DrugBank-corrected	DrugBank
J01RA04	Spiramycin, combinations with other antibacterials	DB06145	Combinations of antibacterials	Combinations of antibacterials	Antibacterials for systemic use	74462	44132	30330	DrugBank-corrected	DrugBank
J01XA01	Vancomycin	DB00512	Glycopeptide antibacterials	Other antibacterials	Antibacterials for systemic use	578	264	314	DrugBank	DrugBank
J01XC01	Fusidic Acid	DB02703	Steroid antibacterials	Other antibacterials	Antibacterials for systemic use	22000	12209	9791	DrugBank	DrugBank
J01XE01	Nitrofurantoin	DB00698	Nitrofuran derivatives	Other antibacterials	Antibacterials for systemic use	50764	40368	10396	DrugBank	DrugBank
J01XX01	Fosfomycin	DB00828	Other antibacterials	Other antibacterials	Antibacterials for systemic use	926571	826909	99662	DrugBank	DrugBank
J01XX04	Spectinomycin	DB00919	Other antibacterials	Other antibacterials	Antibacterials for systemic use	15	0	15	DrugBank	DrugBank
J02AB02	Ketoconazole	DB01026	Imidazole derivatives	Antimycotics for systemic use	Antimycotics for systemic use	14387	7806	6581	DrugBank	DrugBank
J02AC01	Fluconazole	DB00196	Triazole derivatives	Antimycotics for systemic use	Antimycotics for systemic use	223801	152787	71014	DrugBank	DrugBank
J02AC02	Itraconazole	DB01167	Triazole derivatives	Antimycotics for systemic use	Antimycotics for systemic use	135302	79250	56052	DrugBank	DrugBank
J04AB02	Rifampicin	DB01045	Antibiotics	Drugs for treatment of tuberculosis	Antimycobacterials	11273	5222	6051	DrugBank	DrugBank
J04AB04	Rifabutin	DB00615	Antibiotics	Drugs for treatment of tuberculosis	Antimycobacterials	504	249	255	DrugBank	DrugBank
J04AB30	Capreomycin	DB00314	Antibiotics	Drugs for treatment of tuberculosis	Antimycobacterials	2	1	1	DrugBank	DrugBank
J04AC01	Isoniazid	DB00951	Hydrazides	Drugs for treatment of tuberculosis	Antimycobacterials	11	6	5	DrugBank	DrugBank
J04AC51	Isoniazid, combinations	DB00951	Hydrazides	Drugs for treatment of tuberculosis	Antimycobacterials	9544	4355	5189	DrugBank-corrected	DrugBank
J04AK01	Pyrazinamide	DB00339	Other drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	831	362	469	DrugBank	DrugBank
J04AK02	Ethambutol	DB00330	Other drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	2550	1061	1489	DrugBank	DrugBank
J04AM02	Rifampicin and isoniazid	DB00951	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	9265	3900	5365	DrugBank-corrected	DrugBank
J04AM02	Rifampicin and isoniazid	DB01045	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	9265	3900	5365	DrugBank-corrected	DrugBank
J04AM05	Rifampicin, pyrazinamide and isoniazid	DB00339	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	1769	748	1021	DrugBank-corrected	DrugBank
J04AM05	Rifampicin, pyrazinamide and isoniazid	DB00951	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	1769	748	1021	DrugBank-corrected	DrugBank
J04AM05	Rifampicin, pyrazinamide and isoniazid	DB01045	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	1769	748	1021	DrugBank-corrected	DrugBank
J04AM06	Rifampicin, pyrazinamide, ethambutol and isoniazid	DB00330	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	3245	1327	1918	DrugBank-corrected	DrugBank
J04AM06	Rifampicin, pyrazinamide, ethambutol and isoniazid	DB00339	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	3245	1327	1918	DrugBank-corrected	DrugBank
J04AM06	Rifampicin, pyrazinamide, ethambutol and isoniazid	DB00951	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	3245	1327	1918	DrugBank-corrected	DrugBank
J04AM06	Rifampicin, pyrazinamide, ethambutol and isoniazid	DB01045	Combinations of drugs for treatment of tuberculosis	Drugs for treatment of tuberculosis	Antimycobacterials	3245	1327	1918	DrugBank-corrected	DrugBank
J04BA01	Clofazimine	DB00845	Drugs for treatment of lepra	Drugs for treatment of lepra	Antimycobacterials	1	1	0	DrugBank	DrugBank
J04BA02	Dapsone	DB00250	Drugs for treatment of lepra	Drugs for treatment of lepra	Antimycobacterials	283	155	128	DrugBank	DrugBank
J05AB01	Aciclovir	DB00787	 Nucleosides and nucleotides excl. reverse transcriptase inhibitors	Direct acting antivirals	Antivirals for systemic use	119646	73319	46327	DrugBank	DrugBank
J05AB04	Ribavirin	DB00811	 Nucleosides and nucleotides excl. reverse transcriptase inhibitors	Direct acting antivirals	Antivirals for systemic use	4	1	3	DrugBank	DrugBank
J05AB09	Famciclovir	DB00426	 Nucleosides and nucleotides excl. reverse transcriptase inhibitors	Direct acting antivirals	Antivirals for systemic use	61862	37426	24436	DrugBank	DrugBank
J05AB11	Valaciclovir	DB00577	 Nucleosides and nucleotides excl. reverse transcriptase inhibitors	Direct acting antivirals	Antivirals for systemic use	64358	38488	25870	DrugBank	DrugBank
J05AB15	Brivudine	DB03312	 Nucleosides and nucleotides excl. reverse transcriptase inhibitors	Direct acting antivirals	Antivirals for systemic use	34599	20390	14209	WHOCC	DrugBankWeb
J05AC91			Cyclic amines	Direct acting antivirals	Antivirals for systemic use	4352	2426	1926		
J06BA01	Immunoglobulins, normal human, for extravascular adm.		Immunoglobulins, normal human	Immunoglobulins	Immune sera and immunoglobulins	387	271	116	WHOCC	
J06BB01	Anti-D (rh) immunoglobulin		Specific immunoglobulins	Immunoglobulins	Immune sera and immunoglobulins	43579	43486	93	WHOCC	
J06BB02	Tetanus Immune Globulin	DB11604	Specific immunoglobulins	Immunoglobulins	Immune sera and immunoglobulins	405	196	209	DrugBank	DrugBank
J06BB04	Hepatitis B immunoglobulin		Specific immunoglobulins	Immunoglobulins	Immune sera and immunoglobulins	134	38	96	WHOCC	
J07AE01	Cholera, inactivated, whole cell		Cholera vaccines	Bacterial vaccines	Vaccines	4938	2654	2284	WHOCC	
J07AG01	Haemophilus influenzae B, purified antigen conjugated		Hemophilus influenzae B vaccines	Bacterial vaccines	Vaccines	44	22	22	WHOCC	
J07AH03	Meningococcus A,C, bivalent purified polysaccharides antigen		Meningococcal vaccines	Bacterial vaccines	Vaccines	15	6	9	WHOCC	
J07AH07	Meningococcus C, purified polysaccharides antigen conjugated		Meningococcal vaccines	Bacterial vaccines	Vaccines	12	7	5	WHOCC	
J07AJ51	Pertussis, inactivated, whole cell, combinations with toxoids		Pertussis vaccines	Bacterial vaccines	Vaccines	1	1	0	WHOCC	
J07AL01	Pneumococcus, purified polysaccharides antigen		Pneumococcal vaccines	Bacterial vaccines	Vaccines	64	29	35	WHOCC	
J07AL02	Pneumococcus, purified polysaccharides antigen conjugated		Pneumococcal vaccines	Bacterial vaccines	Vaccines	232	105	127	WHOCC	
J07AL52	Pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated		Pneumococcal vaccines	Bacterial vaccines	Vaccines	5	4	1	WHOCC	
J07AM01	Tetanus toxoid	DB10583	Tetanus vaccines	Bacterial vaccines	Vaccines	7	4	3	DrugBank-corrected	DrugBank
J07AM51	Tetanus toxoid, combinations with diphtheria toxoid	DB10583	Tetanus vaccines	Bacterial vaccines	Vaccines	5282	2928	2354	DrugBank-corrected	DrugBank
J07AN01	Tuberculosis, live attenuated		Tuberculosis vaccines	Bacterial vaccines	Vaccines	3	3	0	WHOCC	
J07AP01	Typhoid, oral, live attenuated		Typhoid vaccines	Bacterial vaccines	Vaccines	13585	7552	6033	WHOCC	
J07AP03	Typhoid, purified polysaccharide antigen		Typhoid vaccines	Bacterial vaccines	Vaccines	2	2	0	WHOCC	
J07BB02	Influenza, inactivated, split virus or surface antigen		Influenza vaccines	Viral vacciones	Vaccines	419	250	169	WHOCC	
J07BB91			Influenza vaccines	Viral vacciones	Vaccines	1669	961	708		
J07BC01	Hepatitis B, purified antigen		Hepatitis vaccines	Viral vacciones	Vaccines	205	88	117	WHOCC	
J07BC02	Hepatitis A, inactivated, whole virus		Hepatitis vaccines	Viral vacciones	Vaccines	436	216	220	WHOCC	
J07BD52	Measles, combinations with mumps and rubella, live attenuated		Measles vaccines	Viral vacciones	Vaccines	30	23	7	WHOCC	
L01AA01	Cyclophosphamide	DB00531	Nitrogen mustard analogues	Alkylating agents	Antineoplastic agents	2562	1364	1198	DrugBank	DrugBank
L01AA02	Chlorambucil	DB00291	Nitrogen mustard analogues	Alkylating agents	Antineoplastic agents	901	435	466	DrugBank	DrugBank
L01AA03	Melphalan	DB01042	Nitrogen mustard analogues	Alkylating agents	Antineoplastic agents	718	374	344	DrugBank	DrugBank
L01AB01	Busulfan	DB01008	Alkyl sulfonates	Alkylating agents	Antineoplastic agents	39	25	14	DrugBank	DrugBank
L01AD02	Lomustine	DB01206	Nitrosoureas	Alkylating agents	Antineoplastic agents	1	0	1	DrugBank	DrugBank
L01AX03	Temozolomide	DB00853	Other alkylating agents	Alkylating agents	Antineoplastic agents	52	23	29	DrugBank	DrugBank
L01AX04	Dacarbazine	DB00851	Other alkylating agents	Alkylating agents	Antineoplastic agents	12	6	6	DrugBank	DrugBank
L01BA01	Methotrexate	DB00563	Folic acid analogues	Antimetabolites	Antineoplastic agents	6947	4463	2484	DrugBank	DrugBank
L01BB02	Mercaptopurine	DB01033	Purine analogues	Antimetabolites	Antineoplastic agents	1357	712	645	DrugBank	DrugBank
L01BB03	Tioguanine	DB00352	Purine analogues	Antimetabolites	Antineoplastic agents	13	3	10	DrugBank	DrugBank
L01BB05	Fludarabine	DB01073	Purine analogues	Antimetabolites	Antineoplastic agents	146	51	95	DrugBank	DrugBank
L01BC02	Fluorouracil	DB00544	Pyrimidine analogues	Antimetabolites	Antineoplastic agents	284	182	102	DrugBank-corrected	DrugBank
L01BC03	Tegafur	DB09256	Pyrimidine analogues	Antimetabolites	Antineoplastic agents	593	263	330	DrugBank	DrugBank
L01BC06	Capecitabine	DB01101	Pyrimidine analogues	Antimetabolites	Antineoplastic agents	4041	2044	1997	DrugBank	DrugBank
L01BC52	Fluorouracil, combinations	DB00544	Pyrimidine analogues	Antimetabolites	Antineoplastic agents	5734	2452	3282	DrugBank	DrugBank
L01BC53	Tegafur, combinations	DB09256	Pyrimidine analogues	Antimetabolites	Antineoplastic agents	14	9	5	DrugBank-corrected	DrugBank
L01CA01	Vinblastine	DB00570	Vinca alkaloids and analogues	Plant alkaloids and other natural products	Antineoplastic agents	17	6	11	DrugBank	DrugBank
L01CA02	Vincristine	DB00541	Vinca alkaloids and analogues	Plant alkaloids and other natural products	Antineoplastic agents	53	31	22	DrugBank	DrugBank
L01CA03	Vindesine	DB00309	Vinca alkaloids and analogues	Plant alkaloids and other natural products	Antineoplastic agents	1	0	1	DrugBank	DrugBank
L01CB01	Etoposide	DB00773	Podophyllotoxin derivatives	Plant alkaloids and other natural products	Antineoplastic agents	257	127	130	DrugBank	DrugBank
L01DB01	Doxorubicin	DB00997	Anthracyclines and related substances	Cytotoxic antibiotics and related substances	Antineoplastic agents	188	155	33	DrugBank	DrugBank
L01DB03	Epirubicin	DB00445	Anthracyclines and related substances	Cytotoxic antibiotics and related substances	Antineoplastic agents	243	194	49	DrugBank	DrugBank
L01DB07	Mitoxantrone	DB01204	Anthracyclines and related substances	Cytotoxic antibiotics and related substances	Antineoplastic agents	11	2	9	DrugBank	DrugBank
L01DC01	Bleomycin	DB00290	Other cytotoxic antibiotics	Cytotoxic antibiotics and related substances	Antineoplastic agents	109	61	48	DrugBank	DrugBank
L01DC03	Mitomycin	DB00305	Other cytotoxic antibiotics	Cytotoxic antibiotics and related substances	Antineoplastic agents	212	46	166	DrugBank	DrugBank
L01XA02	Carboplatin	DB00958	Platinum compounds	Other antineoplastic agents	Antineoplastic agents	203	109	94	DrugBank	DrugBank
L01XD03	Methyl aminolevulinate	DB00992	Sensitizers used in photodynamic/radiation therapy	Other antineoplastic agents	Antineoplastic agents	2891	997	1894	DrugBank	DrugBank
L01XD04	Aminolevulinic acid	DB00855	Sensitizers used in photodynamic/radiation therapy	Other antineoplastic agents	Antineoplastic agents	462	179	283	DrugBank	DrugBank
L01XE01	Imatinib	DB00619	Protein kinase inhibitors	Other antineoplastic agents	Antineoplastic agents	36	25	11	DrugBank	DrugBank
L01XE03	Erlotinib	DB00530	Protein kinase inhibitors	Other antineoplastic agents	Antineoplastic agents	100	45	55	DrugBank	DrugBank
L01XE04	Sunitinib	DB01268	Protein kinase inhibitors	Other antineoplastic agents	Antineoplastic agents	7	0	7	DrugBank	DrugBank
L01XE05	Sorafenib	DB00398	Protein kinase inhibitors	Other antineoplastic agents	Antineoplastic agents	23	9	14	DrugBank	DrugBank
L01XE07	Lapatinib	DB01259	Protein kinase inhibitors	Other antineoplastic agents	Antineoplastic agents	5	5	0	DrugBank	DrugBank
L01XX05	Hydroxyurea	DB01005	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	6087	3303	2784	DrugBank	DrugBank
L01XX09	Miltefosine	DB09031	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	5	3	2	DrugBank	DrugBank
L01XX11	Estramustine	DB01196	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	352	12	340	DrugBank	DrugBank
L01XX14	Tretinoin	DB00755	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	153	79	74	DrugBank	DrugBank
L01XX23	Mitotane	DB00648	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	59	34	25	DrugBank	DrugBank
L01XX25	Bexarotene	DB00307	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	45	19	26	DrugBank	DrugBank
L01XX33	Celecoxib	DB00482	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	42	19	23	DrugBank	DrugBank
L01XX35	Anagrelide	DB00261	Other antineoplastic agents	Other antineoplastic agents	Antineoplastic agents	697	414	283	DrugBank	DrugBank
L02AB01	Megestrol acetate	DB00351	Progestogens	Hormones and related agents	Endocrine therapy	39084	20765	18319	DrugBank	DrugBank
L02AB02	Medroxyprogesterone	DB00603	Progestogens	Hormones and related agents	Endocrine therapy	246	233	13	DrugBank-corrected	DrugBank
L02AE01	Buserelin	DB06719	Gonadotropin releasing hormone analogues	Hormones and related agents	Endocrine therapy	286	16	270	DrugBank	DrugBank
L02AE02	Leuprolide	DB00007	Gonadotropin releasing hormone analogues	Hormones and related agents	Endocrine therapy	20228	4042	16186	DrugBank	DrugBank
L02AE03	Goserelin	DB00014	Gonadotropin releasing hormone analogues	Hormones and related agents	Endocrine therapy	4363	1642	2721	DrugBank	DrugBank
L02AE04	Triptorelin	DB06825	Gonadotropin releasing hormone analogues	Hormones and related agents	Endocrine therapy	23525	10943	12582	DrugBank	DrugBank
L02AE05	Histrelin	DB06788	Gonadotropin releasing hormone analogues	Hormones and related agents	Endocrine therapy	100	0	100	DrugBank	DrugBank
L02BA01	Tamoxifen	DB00675	Anti-estrogens	Hormone antagonists and related agents	Endocrine therapy	24064	21377	2687	DrugBank	DrugBank
L02BA02	Toremifene	DB00539	Anti-estrogens	Hormone antagonists and related agents	Endocrine therapy	37	28	9	DrugBank	DrugBank
L02BA03	Fulvestrant	DB00947	Anti-estrogens	Hormone antagonists and related agents	Endocrine therapy	1887	1855	32	DrugBank	DrugBank
L02BB01	Flutamide	DB00499	Anti-androgens	Hormone antagonists and related agents	Endocrine therapy	2196	883	1313	DrugBank	DrugBank
L02BB03	Bicalutamide	DB01128	Anti-androgens	Hormone antagonists and related agents	Endocrine therapy	26098	1484	24614	DrugBank	DrugBank
L02BG03	Anastrozole	DB01217	Aromatase inhibitors	Hormone antagonists and related agents	Endocrine therapy	9460	8769	691	DrugBank	DrugBank
L02BG04	Letrozole	DB01006	Aromatase inhibitors	Hormone antagonists and related agents	Endocrine therapy	27571	26697	874	DrugBank	DrugBank
L02BG06	Exemestane	DB00990	Aromatase inhibitors	Hormone antagonists and related agents	Endocrine therapy	9352	8939	413	DrugBank	DrugBank
L03AB03	Interferon gamma		Interferons	Immunostimulants	Immunostimulants	8	2	6	WHOCC	
L03AB04	Interferon Alfa-2a, Recombinant	DB00034	Interferons	Immunostimulants	Immunostimulants	66	23	43	DrugBank	DrugBank
L03AB05	Interferon Alfa-2b, Recombinant	DB00105	Interferons	Immunostimulants	Immunostimulants	335	145	190	DrugBank	DrugBank
L04AA01			Selective immunosuppressants	Immunosuppressants	Immunosuppressants	3	1	2		
L04AA06	Mycophenolic acid	DB01024	Selective immunosuppressants	Immunosuppressants	Immunosuppressants	12945	5716	7229	DrugBank	DrugBank
L04AA10	Sirolimus	DB00877	Selective immunosuppressants	Immunosuppressants	Immunosuppressants	1433	541	892	DrugBank	DrugBank
L04AA13	Leflunomide	DB01097	Selective immunosuppressants	Immunosuppressants	Immunosuppressants	9091	6164	2927	DrugBank	DrugBank
L04AA18	Everolimus	DB01590	Selective immunosuppressants	Immunosuppressants	Immunosuppressants	1446	459	987	DrugBank	DrugBank
L04AA21	Efalizumab	DB00095	Selective immunosuppressants	Immunosuppressants	Immunosuppressants	194	58	136	DrugBank	DrugBank
