Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0.01	0	   125	5.33+-8.07	Salmeterol	Nadolol
0	0.05	    42	6.48+-9.56	Clonidine	Bisoprolol
0.01	0	   317	1.22+-0.94	Alprazolam	Josamycin
0.01	0	    68	1.51+-2.16	Triamcinolone	Phenobarbital
0.03	0	    88	4.08+-7.59	Citalopram	Frovatriptan
0.04	0	    36	6.11+-9.05	Fluoxetine	Naratriptan
0	0.01	    60	5.02+-6.05	Ranolazine	Digoxin
0.01	0	    78	1.85+-1.88	Doxycycline	Phenobarbital
0.02	0	   248	2.44+-5	Prednisone	Ketoconazole
0	0.01	    90	4.69+-6.42	Pioglitazone	Glucosamine
0.01	0	    10	2.2+-1.87	Fluvoxamine	Doxepin
0.01	0	    86	1.98+-1.9	Diltiazem	Rifampicin
0	0	   206	1.38+-1.25	Doxycycline	Insulin Aspart
0.03	0	    41	2.1+-3.53	Allopurinol	Mercaptopurine
0.01	0	    29	6.62+-10	Donepezil	Maprotiline
0	0.01	    63	4.63+-7.32	Cyclosporine	Digoxin
0.01	0	   131	1.46+-1.2	Fluconazole	Midazolam
0	0.01	    27	12.48+-13.35	Maprotiline	Rivastigmine
0	0	    56	4.09+-5.86	Fluvastatin	Cholestyramine
0.01	0	   128	9.54+-14.76	Amitriptyline	Galantamine
0	0.01	    18	9.17+-13.08	Colestipol	Warfarin
0	0.01	   179	2.07+-3.35	Ketoconazole	Atorvastatin
0.01	0	     4	1.75+-0.96	Imipramine	Moclobemide
0.01	0	   111	1.42+-1.06	Methylprednisolone aceponate	Rifampicin
0	0.03	   236	1.86+-2.63	Cyclosporine	Naproxen
0	0.01	   236	1.22+-0.75	Warfarin	Clarithromycin
0	0	     1	1+-NA	Amikacin	Cefotaxime
0.01	0	   241	1.18+-0.62	Citalopram	Josamycin
0	0.01	   110	2.45+-4.41	Lithium	Etoricoxib
0.01	0	    58	6.34+-10.01	Estradiol	Phenobarbital
0	0	   178	1.14+-0.43	Erythromycin	Amiodarone
0	0.02	     5	1.2+-0.45	Dapsone	Rifampicin
0	0	    91	3.3+-5.5	Haloperidol	Glycopyrronium
0	0.01	    51	6.71+-13.22	Pyridostigmine	Methylprednisolone aceponate
0	0.01	   152	1.35+-0.89	Lovastatin	Itraconazole
0.01	0	    22	5.45+-6.84	Verapamil	Primidone
0	0.01	     3	1+-0	Ceftazidime	Gentamicin
0.31	0	    52	2.79+-3.51	Omeprazole	Chlordiazepoxide
0	0.02	    66	2.02+-1.8	Capecitabine	Acenocoumarol
0	0	    46	6.98+-11.74	Phenytoin	Methotrexate
0	0.02	   126	2.37+-4.75	Piroxicam	Bisoprolol
0	0.01	   115	1.69+-1.17	Rifampicin	Gliclazide
0	0.02	     9	3.78+-4.97	Prazosin	Verapamil
0	0	    45	4.09+-9.13	Nabumetone	Warfarin
0	0.02	   123	2.94+-5.71	Cyclosporine	Norfloxacin
0	0	    62	8.08+-8.6	Donepezil	Glycopyrronium
0	0.01	   212	4.74+-4.8	Rifampicin	Clarithromycin
0.01	0	    95	1.11+-0.55	Doxycycline	Isotretinoin
0	0.01	   144	1.61+-1.48	Carbamazepine	Itraconazole
0	0.01	   145	2.51+-2.08	Isoniazid	Acenocoumarol
0.01	0	     3	2+-1.73	Nortriptyline	Moclobemide
0	0.01	    26	11.35+-13.86	Nortriptyline	Rivastigmine
0	0	   180	1.66+-2.14	Tolterodine	Itraconazole
0	0.01	   150	5.17+-6.09	Lamotrigine	Ethinylestradiol
0	0.01	   234	1.08+-0.37	Ergotamine	Clarithromycin
0	0.03	   248	2.22+-4.94	Cyclosporine	Diclofenac
0	0.01	   134	1.01+-0.12	Tetracycline	Ethinylestradiol
0	0.02	    18	12.22+-22.14	Clonidine	Carvedilol
0	0	    19	9.21+-11.13	Metoprolol	Propafenone
0	0.01	    18	20.44+-25.41	Ticlopidine	Carbamazepine
0	0.01	    37	5.14+-9.34	Trospium	Olanzapine
0	0	    40	5.92+-10.83	Piroxicam	Methotrexate
0	0	   559	1.02+-0.19	Itraconazole	Clarithromycin
0.02	0	    18	3.61+-4.29	Digoxin	Bumetanide
0.06	0	     1	1+-NA	Phenytoin	Paramethasone
0	0	   145	1.36+-1.14	Doxycycline	Methotrexate
0	0.01	    10	7+-8.22	Clozapine	Midazolam
0	0.03	    11	4.91+-2.7	Rifamycin	Tacrolimus
0	0.01	    21	2.67+-3.62	Colestipol	Fluvastatin
0	0.04	    28	4.14+-3.71	Danazol	Acenocoumarol
0	0.01	     2	3+-2.83	Disopyramide	Sotalol
0	0.01	   179	1.23+-0.65	Midazolam	Clarithromycin
0	0	    16	3.75+-5.23	Phenytoin	Felodipine
0.01	0	   122	1.75+-2.82	Celecoxib	Warfarin
0	0.05	    65	7.62+-12.51	Clozapine	Alprazolam
0	0	   270	1.34+-0.86	Fentanyl	Itraconazole
0.01	0	    73	2.58+-4.81	Itraconazole	Phenobarbital
0	0	    91	1.67+-2.22	Warfarin	Dexamethasone
0.21	0	    84	2.26+-3.29	Ibuprofen	Oxprenolol
0	0	     5	1.8+-1.79	Trospium	Flavoxate
0	0.01	   220	1.04+-0.22	Minocycline	Cloxacillin
0	0.01	   199	1.26+-1.83	Eplerenone	Clarithromycin
0	0.03	    31	4.77+-7.92	Naratriptan	Escitalopram
0.04	0	    39	4.92+-10.18	Paroxetine	Naratriptan
0	0.01	    25	4.24+-7.59	Primidone	Nifedipine
0	0.05	    30	10.87+-18.16	Prazosin	Bisoprolol
0	0	    25	10.96+-14.25	Theophylline	Propafenone
0	0	    72	1.9+-1.58	Rifampicin	Amiodarone
0	0.05	     9	17.89+-19.88	Disopyramide	Propranolol
0.01	0	     4	2.5+-1	Cyclosporine	Rifamycin
0.05	0	    57	2.46+-3.42	Alprazolam	Cimetidine
0	0	    21	6.24+-12.4	Trospium	Biperiden
0.04	0	    16	6.12+-6.54	Gliclazide	Oxprenolol
0	0.01	   151	1.41+-1.51	Theophylline	Norfloxacin
0	0	    51	1+-0	Isotretinoin	Minocycline
0	0.01	   149	1.11+-0.39	Warfarin	Cloxacillin
0.06	0	    71	4.45+-8.39	Salbutamol	Doxepin
0	0.02	     3	1+-0	Atropine	Galantamine
0	0.01	   220	1.51+-1.52	Sucralfate	Norfloxacin
0	0.03	    10	6.7+-5.44	Chlorpropamide	Carvedilol
0	0.01	   124	2.43+-3.3	Dihydroergotamine	Nitroglycerin
0	0.01	     3	1+-0	Cefotaxime	Gentamicin
0.01	0	   140	1.35+-0.79	Amitriptyline	Epinephrine
0	0	    58	7.14+-8.13	Indapamide	Lithium
0	0.02	   320	1.65+-2.15	Warfarin	Naproxen
0	0.04	    10	1.1+-0.32	Dapsone	Trimethoprim
0	0	    37	5.14+-9.22	Phenytoin	Sucralfate
0.01	0	   122	1.57+-1.99	Pantoprazole	Ketoconazole
0.05	0	     1	1+-NA	Phenytoin	Aprepitant
0	0.01	    13	4.31+-3.86	Cyproheptadine	Donepezil
0.01	0	    90	2.38+-5.36	Hydrocortisone	Cholestyramine
0.01	0	    94	1.49+-1.6	Fluconazole	Phenytoin
0.01	0	   166	1.51+-1.87	Fluconazole	Fluvastatin
0	0.01	   103	1.54+-1.14	Alfuzosin	Itraconazole
0	0	    54	5.06+-6.26	Repaglinide	Nadolol
0	0	    53	3+-5.71	Rifampicin	Nifedipine
0	0	    53	1.58+-1.23	Morphine	Rifampicin
0	0	    10	13.9+-14.22	Metoprolol	Primidone
0	0	   115	1.85+-2.4	Doxycycline	Carbamazepine
0.02	0	    44	1.57+-1.13	Fluconazole	Cyclophosphamide
0	0	    20	12.3+-19.19	Phenytoin	Flurazepam
0	0.01	     5	1+-0	Amikacin	Cefonicid
0	0	    47	7.66+-13.65	Phenytoin	Tacrolimus
0	0	    27	5.59+-17.79	Metoprolol	Verapamil
0.01	0	   117	2.92+-5.74	Formoterol	Nadolol
0	0.04	    45	1.51+-1.1	Telithromycin	Atorvastatin
0	0	    44	6.43+-10.09	Fluvoxamine	Rizatriptan
0.01	0	    87	1.85+-2.57	Terbutaline	Rasagiline
0.01	0	   103	6.09+-8.16	Fluoxetine	Cilostazol
0	0.09	     3	6+-5	Procyclidine	Haloperidol
0	0	    19	2+-3	Eletriptan	Dihydroergotamine
0	0	    41	1.78+-1.24	Disulfiram	Isoniazid
0	0	    14	2.36+-1.78	Fludrocortisone	Rifampicin
0	0	    80	1.24+-0.86	Erythromycin	Warfarin
0	0	    84	1.99+-3.28	Tizanidine	Norethisterone
0.01	0	    27	3.37+-4.31	Digoxin	Cyclophosphamide
0.01	0	   114	1.42+-1.23	Fluconazole	Rifampicin
0	0.03	    31	1.87+-2.06	Dextropropoxyphene	Acenocoumarol
0	0	    78	2.33+-2.35	Propranolol	Rifampicin
0	0	    14	2.07+-2.7	Dihydroergotamine	Frovatriptan
0	0.01	   119	1.14+-0.64	Warfarin	Metronidazole
0	0	    25	7.72+-20.78	Lovastatin	Bezafibrate
0	0	    46	6.72+-8.96	Methylphenidate	Rasagiline
0	0	   311	1.21+-0.8	Doxycycline	Ferrous glycine sulfate
0	0	    19	7.74+-11.41	Imipramine	Galantamine
0.01	0	   136	1.14+-0.47	Fluoxetine	Josamycin
0	0	    47	4.94+-7.3	Captopril	Lithium
0	0	    66	1.47+-1.23	Erythromycin	Theophylline
0.01	0	    47	1.17+-0.48	Moxifloxacin	Sotalol
0	0.01	     7	3.29+-2.14	Clozapine	Flurazepam
0.04	0	    37	6.86+-9.34	Citalopram	Naratriptan
0	0	    13	5+-5.54	Theophylline	Primidone
0.01	0	    12	10.92+-25.01	Verapamil	Triazolam
0.06	0	    19	7.42+-8.51	Bisoprolol	Chlorpropamide
0	0	   231	1.38+-1	Methylprednisolone aceponate	Itraconazole
0.02	0	    35	5.11+-6.88	Fluoxetine	Selegiline
0	0.02	    51	9.73+-16.48	Frovatriptan	Sertraline
0	0.01	    22	10.32+-12.32	Nortriptyline	Donepezil
0	0.02	    12	9.92+-13.28	Prazosin	Carvedilol
0	0	    24	4.38+-6.04	Warfarin	Leflunomide
0.01	0	    30	2.2+-4.72	Tacrolimus	Felodipine
0	0.01	    17	10.76+-16.39	Trihexyphenidyl	Donepezil
0	0	    20	5.35+-11.25	Metoprolol	Dihydroergotamine
0	0	   320	1.43+-1.74	Fluconazole	Celecoxib
0	0.02	    81	1.41+-1.22	Perphenazine	Levofloxacin
0.03	0	    23	4.78+-8.96	Amitriptyline	Clonidine
0	0.01	    52	1.96+-3.51	Piroxicam	Propranolol
0	0.02	    82	1.22+-0.82	Sotalol	Clarithromycin
0.01	0	    19	3.53+-7.71	Megestrol acetate	Primidone
0	0	    17	13.06+-18.02	Imipramine	Rasagiline
0	0	    10	4+-4.78	Ticlopidine	Theophylline
0.01	0	    70	2.93+-5.58	Indomethacin	Lithium
0.01	0	    62	2.53+-3.68	Indomethacin	Nadolol
0	0.01	   117	1.19+-1.1	Betamethasone	Acenocoumarol
0.04	0	    50	1.18+-0.52	Alprazolam	Telithromycin
0	0.02	   106	2.09+-3.6	Trospium	Cetirizine
0.02	0	    16	11.69+-25.15	Propranolol	Clonidine
0	0	    16	9.25+-16.31	Cyclosporine	Phenytoin
0.01	0	   119	1.26+-0.89	Fluconazole	Ergotamine
0	0.01	   155	1.17+-0.59	Dihydroergotamine	Clarithromycin
0	0.01	    53	2.17+-4.48	Phenytoin	Triamcinolone
0	0	    13	6.54+-13.3	Nortriptyline	Rasagiline
0.01	0	    69	2.23+-2.91	Fentanyl	Ketoconazole
0.01	0	    78	1.38+-1.1	Fluconazole	Flurazepam
0.01	0	   123	1.28+-0.78	Dextromethorphan	Rasagiline
0	0.01	    64	1.59+-1.16	Phenytoin	Itraconazole
0.02	0	    20	5.8+-8.77	Atenolol	Clonidine
0	0	    69	7.32+-13.95	Ergotamine	Carvedilol
0	0	    26	4.85+-8.86	Cyclosporine	Carbamazepine
0	0	   292	1.53+-1.33	Ethinylestradiol	Etoricoxib
0.01	0	    79	1.38+-1.4	Lansoprazole	Ketoconazole
0	0	    92	1.42+-1.17	Ergotamine	Itraconazole
0	0.02	    27	2.56+-3.65	Cyproheptadine	Fluoxetine
0.02	0	    12	5.08+-9.16	Digoxin	Prazosin
0	0.01	    61	1.59+-2.09	Flurazepam	Itraconazole
0	0	    59	3.54+-4.84	Dihydroergotamine	Carvedilol
0	0	    86	1.4+-0.84	Almotriptan	Itraconazole
0	0	    23	9.96+-20.88	Fluvastatin	Bezafibrate
0.01	0	    98	1.55+-0.87	Amitriptyline	Rifampicin
0.01	0	   182	1.01+-0.1	Levofloxacin	Josamycin
0.01	0	    37	6.68+-11.77	Digoxin	Sulfasalazine
0	0.01	    34	3.35+-8.68	Primidone	Methylprednisolone aceponate
0.02	0	   199	1.19+-0.77	Diazepam	Ketoconazole
0	0	   104	1.51+-1.58	Atenolol	Epinephrine
0.01	0	    11	5.36+-6.05	Donepezil	Doxepin
0	0.12	    88	3.14+-4.75	Bumetanide	Ibuprofen
0	0	    21	6.48+-8.65	Trospium	Clomipramine
0	0	    84	1.2+-0.43	Erythromycin	Carbamazepine
0.01	0	   280	1.15+-0.52	Diazepam	Josamycin
0	0	     2	2+-0	Methadone	Cimetidine
0	0	    95	1.73+-1.65	Itraconazole	Aripiprazole
0	0	    65	2.06+-3.11	Rifampicin	Dexamethasone
0	0.01	    42	2.38+-2.66	Piroxicam	Carvedilol
0	0	   154	2+-3.05	Minocycline	Acenocoumarol
0	0	    57	1.86+-2.08	Haloperidol	Rifampicin
0	0	    62	2.66+-4.91	Theophylline	Propranolol
0.01	0	    41	1.2+-0.56	Moxifloxacin	Ziprasidone
0	0.01	   115	2.82+-4.44	Ergotamine	Nitroglycerin
0	0	    20	10.5+-20.14	Carbamazepine	Felodipine
0	0.01	    62	1.27+-0.98	Cyclosporine	Clindamycin
0	0	    11	1+-0	Gentamicin	Ceftriaxone
0	0.02	    98	1.86+-2.71	Trospium	Loratadine
0	0	    21	5.38+-9.8	Metoprolol	Ergotamine
0.04	0	    14	29.86+-40.94	Amitriptyline	Moclobemide
0	0	    76	2.03+-1.99	Hydrocortisone	Rifampicin
0	0	   110	1.15+-0.54	Moxifloxacin	Sucralfate
0	0.02	   197	1.26+-1.31	Ketoconazole	Budesonide
0	0	    37	4.38+-7.3	Raloxifene	Cholestyramine
0	0	   112	1.07+-0.26	Disulfiram	Metronidazole
0	0.02	   410	1+-0.05	Tetracycline	Amoxicillin
0	0	    19	2+-1.05	Cyclosporine	Rifampicin
0	0	    59	1.69+-0.95	Glyburide	Rifampicin
0	0.01	    35	4.57+-11.02	Pyridostigmine	Hydrocortisone
0.02	0	     1	1+-NA	Gentamicin	Cefoxitin
0	0.02	    85	1.16+-0.57	Eletriptan	Clarithromycin
0.17	0	    12	2.08+-1.98	Acetylsalicylic acid	Heparin
0	0	    23	10.22+-9.26	Imipramine	Rivastigmine
0	0.01	    39	4.23+-5.99	Cyclosporine	Glyburide
0	0.01	    55	1.71+-3.54	Metoprolol	Terbutaline
0.01	0	    97	1.36+-1.01	Fluconazole	Eplerenone
0	0	    64	10.12+-18.9	Estradiol	Ursodeoxycholic acid
0	0	    25	6.88+-7.38	Fluvoxamine	Warfarin
0	0	    28	7.14+-7.13	Galantamine	Glycopyrronium
0	0.01	    55	2.05+-4.95	Phenytoin	Doxycycline
0	0	    46	2.26+-4.03	Meloxicam	Lithium
0	0	     7	3.57+-4.76	Trospium	Maprotiline
0	0	    25	4.24+-4.45	Phenytoin	Disulfiram
0	0	    31	2.81+-3.94	Metoprolol	Lidocaine
0.01	0	    60	1.82+-2.88	Fluconazole	Imipramine
0.04	0	    53	1.25+-0.81	Simvastatin	Telithromycin
0	0.01	    82	1.62+-2.18	Ketoconazole	Acenocoumarol
0	0	    65	2.35+-7.22	Triamcinolone	Warfarin
0	0	    21	5.14+-8.8	Phenytoin	Rifampicin
0	0	    51	1.88+-1.18	Repaglinide	Rifampicin
0.01	0	    60	1.48+-0.87	Fluconazole	Halazepam
0	0	    46	5.02+-13.19	Tizanidine	Perindopril
0	0.01	    63	3.59+-6.22	Atomoxetine	Paroxetine
0	0.02	   118	2.18+-3.34	Labetalol	Salbutamol
0.02	0	    26	3.65+-9.97	Fluconazole	Everolimus
0	0	    71	3.96+-7.21	Raloxifene	Estradiol
0	0	    72	1.4+-1.38	Digoxin	Josamycin
0	0	   242	1.09+-0.4	Tacrolimus	Clarithromycin
0	0.01	    51	2.49+-4.05	Imipramine	Terbutaline
0	0	    73	1.56+-1.38	Propranolol	Epinephrine
0	0	    20	9.8+-16.73	Ranolazine	Verapamil
0	0.01	    14	17.21+-25.57	Colestipol	Raloxifene
0	0.02	    25	1.2+-0.65	Telithromycin	Acenocoumarol
0.01	0	   174	1.46+-1.01	Prednisone	Estriol
0.01	0	    16	8.19+-14.74	Diltiazem	Triazolam
0	0	    20	1.15+-0.49	Betamethasone	Phenobarbital
0	0	    10	2.8+-1.32	Cyclosporine	Sulfasalazine
0	0.02	    47	1.21+-0.59	Fluphenazine	Levofloxacin
0	0	    23	4.13+-5.66	Fluvoxamine	Almotriptan
0	0	    34	3.97+-5.25	Fluvoxamine	Zolmitriptan
0	0	    28	7.18+-12.66	Eprosartan	Lithium
0	0	   105	4.82+-6.2	Disulfiram	Acenocoumarol
0.04	0	    16	13.94+-22.17	Paroxetine	Moclobemide
0	0	    31	2.16+-3.37	Verapamil	Rifampicin
0	0.08	     1	1+-NA	Tolmetin	Methotrexate
0	0.01	    22	8.36+-12.81	Colestipol	Digoxin
0.01	0	     9	5.33+-4.44	Rivastigmine	Doxepin
0	0	     8	14.38+-17.61	Ranolazine	Sotalol
0	0	   151	1.4+-3.03	Digoxin	Itraconazole
0	0.01	     5	1+-0	Tobramycin	Cefonicid
0	0	    44	7.45+-13.07	Carbamazepine	Norethisterone
0	0.01	    45	1.2+-0.46	Imipramine	Pseudoephedrine
0	0	   272	1.11+-0.63	Thiethylperazine	Levofloxacin
0	0	    92	1.22+-0.57	Fluconazole	Warfarin
0	0	    73	2.26+-4.46	Tizanidine	Captopril
0.01	0	    15	1.13+-0.35	Digoxin	Telithromycin
0	0	    13	8.77+-11.95	Fluvoxamine	Ropinirole
0	0	   150	1.01+-0.12	Erythromycin	Itraconazole
0.01	0	    22	8+-10.71	Spironolactone	Cilazapril
0	0	     3	1+-0	Gentamicin	Bumetanide
0	0	   130	1.23+-0.64	Haloperidol	Itraconazole
0.02	0	    17	1.06+-0.24	Torasemide	Tobramycin
0	0.02	     3	1+-0	Atropine	Donepezil
0	0.01	    43	1.56+-1.3	Halazepam	Itraconazole
0	0	    22	5.86+-8.62	Testosterone	Warfarin
0	0	    20	2.3+-2.32	Theophylline	Lithium
0	0	    11	10.18+-11.68	Nortriptyline	Galantamine
0	0	    21	10.33+-11.78	Imipramine	Donepezil
0	0	    69	1.1+-0.43	Erythromycin	Cabergoline
0	0	    16	4.94+-6.94	Metoprolol	Hydralazine
0.02	0	    37	1.59+-1.12	Dextromethorphan	Selegiline
0.01	0	    10	4.6+-6.11	Donepezil	Pimozide
0	0	     7	3.57+-5.09	Cyclosporine	Primidone
0	0	    26	7.15+-18.72	Atomoxetine	Haloperidol
0	0	     2	1+-0	Triazolam	Telithromycin
0	0.01	    16	7.38+-12.94	Clozapine	Bromazepam
0.02	0	     7	2.43+-2.51	Diltiazem	Buspirone
0	0.02	    21	4.9+-5.21	Naratriptan	Sertraline
0	0	    38	1.63+-1.28	Epinephrine	Clomipramine
0	0	    25	2.48+-1.96	Warfarin	Rifampicin
0	0	    31	2.03+-1.85	Lovastatin	Rifampicin
0	0	    50	1.84+-3.23	Ketoconazole	Rabeprazole
0	0	    71	2.48+-5.84	Warfarin	Etoricoxib
0	0	   128	1.34+-1.32	Doxycycline	Digoxin
0	0	    55	1.82+-2.05	Midazolam	Itraconazole
0	0	    55	1.56+-2.18	Ketoconazole	Clonazepam
0	0	    13	4+-4.26	Donepezil	Zuclopenthixol
0	0	    19	1.37+-0.68	Phenytoin	Betamethasone
0.03	0	     4	1+-0	Haloperidol	Atropine
0.01	0	     2	1+-0	Cyclosporine	Sulfadiazine
0	0.01	     8	3.12+-4.09	Cimetidine	Donepezil
0.01	0	     8	4.38+-5.01	Carbamazepine	Doxepin
0	0	    54	1.85+-1.95	Epinephrine	Carvedilol
0	0	    20	4.85+-6.55	Cyclosporine	Lovastatin
0	0	    21	4.05+-5.84	Fluvoxamine	Ergotamine
0	0	    16	6.5+-14.27	Quinapril	Lithium
0	0	    50	1.52+-2.55	Erythromycin	Eplerenone
0	0.01	    47	4.64+-8	Trospium	Hydroxyzine
0.01	0	    26	1.19+-0.69	Erythromycin	Felodipine
0	0	    64	3.95+-4.36	Desogestrel	Lamotrigine
0.05	0	     3	3.67+-4.62	Spironolactone	Mitotane
0	0.01	    76	1.11+-0.35	Cyclosporine	Clarithromycin
0	0	    16	1.69+-1.4	Rifampicin	Propafenone
0	0	     3	10.67+-16.74	Clonidine	Labetalol
0	0.04	    44	3.14+-4.91	Cimetidine	Diazepam
0.01	0	     1	1+-NA	Gentamicin	Cefazolin
0	0.03	    42	1.38+-0.94	Clozapine	Ciprofloxacin
0	0	    17	2.12+-2.52	Phenytoin	Estriol
0	0.01	     8	6.88+-8.36	Clozapine	Rivastigmine
0	0	     5	1.4+-0.89	Galantamine	Periciazine
0	0.01	    29	1.97+-2.24	Flurbiprofen	Acenocoumarol
0	0	     5	31.6+-40.46	Cyclosporine	Ticlopidine
0	0	    48	1.44+-1.15	Warfarin	Terbinafine
0	0	    12	1.42+-0.9	Halazepam	Ketoconazole
0	0	   187	1.12+-0.5	Clarithromycin	Colchicine
0	0	     8	2.88+-3.8	Galantamine	Zuclopenthixol
0	0.01	    33	1.39+-1.17	Eletriptan	Itraconazole
0	0.01	    15	4.53+-7.58	Cimetidine	Clonazepam
0	0	    20	4.35+-6.41	Verapamil	Nadolol
0	0	    75	1.01+-0.12	Tetracycline	Ferrous glycine sulfate
0	0.01	     8	4.5+-5.24	Cimetidine	Nifedipine
0	0.01	    20	1.45+-0.94	Primidone	Dexamethasone
0.01	0	    14	1.5+-0.85	Erythromycin	Zafirlukast
0.03	0	    10	6.2+-11.6	Fluoxetine	Moclobemide
0	0.01	    45	1.07+-0.33	Ceftriaxone	Acenocoumarol
0	0	    49	1.14+-0.35	Trazodone	Ketoconazole
0	0.01	    49	2.18+-3.57	Piroxicam	Acenocoumarol
0	0	    63	1.76+-2.34	Fluconazole	Cilostazol
0	0	    70	1.3+-0.69	Doxycycline	Insulin Detemir
0	0	    28	2.11+-1.66	Rifampicin	Clomipramine
0	0.01	    21	4.05+-6.14	Colestipol	Hydrocortisone
0	0	    58	1.52+-1.22	Rifampicin	Etoricoxib
0	0	    53	1.11+-0.32	Dihydroergotamine	Itraconazole
0	0	    19	5.42+-6.51	Norethisterone	Phenobarbital
0	0	     3	1+-0	Tobramycin	Ceftriaxone
0	0	    11	1.73+-2.1	Fluorouracil	Warfarin
0.02	0	    87	1.2+-0.66	Codeine	Naltrexone
0	0	    66	1.15+-0.77	Fluconazole	Dihydroergotamine
0	0	     4	3.75+-2.63	Trospium	Trihexyphenidyl
0	0	    16	3.38+-3.98	Fluvoxamine	Dihydroergotamine
0	0	     5	2.8+-2.17	Cyclosporine	Chloroquine
0	0	     9	2.22+-1.92	Metoprolol	Phenobarbital
0	0	    14	1.79+-2.94	Phenobarbital	Estriol
0	0	    48	1.81+-3.11	Esomeprazole	Ketoconazole
0	0	    15	8.4+-16.94	Fluvoxamine	Theophylline
0	0	     9	4.56+-4.9	Metoprolol	Piroxicam
0	0	    70	4.16+-5.96	Oxcarbazepine	Ethinylestradiol
0	0	   195	1.03+-0.17	Dextromethorphan	Terbinafine
0.01	0	    24	2.38+-4.28	Indomethacin	Sotalol
0.01	0	     2	1+-0	Phenytoin	Sulfadiazine
0	0	    23	4+-5.36	Chlorthalidone	Lithium
0	0	    11	7+-6.1	Oxcarbazepine	Felodipine
0	0	    47	1.17+-0.38	Ketoconazole	Quetiapine
0	0	     9	5.78+-4.82	Galantamine	Perphenazine
0.04	0	    13	5.62+-8.16	Citalopram	Moclobemide
0	0	    28	5.32+-13.62	Tizanidine	Quinapril
0	0	     5	1.6+-1.34	Methadone	Rifampicin
0	0	    21	8.62+-19.55	Cyclosporine	Methylphenidate
0	0	    20	7.95+-10.5	Fluvoxamine	Oxycodone
0	0	    74	1.18+-0.58	Erythromycin	Tacrolimus
0	0	     4	1.5+-0.58	Phenytoin	Sirolimus
0.01	0	    22	1.77+-1.8	Hydrocortisone	Primidone
0.01	0	    29	1.07+-0.37	Atenolol	Ampicillin
0	0	    40	1.18+-0.45	Erythromycin	Dihydroergotamine
0	0	    22	2.55+-3.16	Fluvoxamine	Sumatriptan
0	0	    27	2.52+-2.85	Prednisolone	Phenobarbital
0	0.05	    21	1.62+-1.43	Rifamycin	Simvastatin
0	0	     9	3.11+-3.3	Fluvoxamine	Eletriptan
0	0	    43	1.26+-0.73	Repaglinide	Josamycin
0	0	    10	9.2+-15.7	Trandolapril	Lithium
0	0	    36	1.33+-0.89	Erythromycin	Midazolam
0	0	    67	1.09+-0.38	Sucralfate	Itraconazole
0	0	     6	1.83+-1.33	Trospium	Imipramine
0	0.01	    19	1.37+-0.83	Pyridostigmine	Dexamethasone
0.03	0	     1	3+-NA	Carbamazepine	Imatinib
0	0	    12	4.83+-4.06	Perphenazine	Rivastigmine
0	0.02	    29	1.1+-0.31	Triazolam	Clarithromycin
0	0	    29	1+-0	Carbamazepine	Josamycin
0	0	    33	1.7+-1.05	Cyclosporine	Itraconazole
0.01	0	    66	1.35+-1.55	Ranitidine	Ketoconazole
0	0	    52	1.6+-2.14	Amitriptyline	Ketoconazole
0	0	     4	15.5+-17.99	Phenytoin	Clozapine
0	0	    33	1.09+-0.29	Tetracycline	Insulin Aspart
0	0.01	    27	1.52+-1.22	Nortriptyline	Terbutaline
0	0.01	    26	1.31+-0.74	Felodipine	Itraconazole
0	0	    49	2.49+-6.17	Doxycycline	Warfarin
0	0	   100	1.57+-3.42	Minocycline	Ferrous glycine sulfate
0.02	0	     9	1.11+-0.33	Torasemide	Amikacin
0	0	     7	1.29+-0.49	Phenytoin	Fluorouracil
0	0	    27	5.22+-8.98	Phenytoin	Estradiol
0	0	     7	3.71+-3.99	Rivastigmine	Pimozide
0	0	     8	3.88+-5.84	Theophylline	Sotalol
0	0	    76	2.47+-2.72	Carbamazepine	Ethinylestradiol
0	0	    43	1.12+-0.32	Erythromycin	Ergotamine
0	0	     2	1.5+-0.71	Methadone	Primidone
0	0.01	    23	5.87+-10.75	Mefenamic acid	Acenocoumarol
0.01	0	     6	6.17+-8.06	Donepezil	Flavoxate
0.01	0	    62	2.1+-5.05	Cyclobenzaprine	Rasagiline
0.01	0	     5	14.6+-25.11	Repaglinide	Oxprenolol
0	0	    42	1.02+-0.15	Terbutaline	Nadolol
0	0	    19	1.63+-1.07	Lamotrigine	Rifampicin
0	0	    10	3.4+-5.56	Cyclosporine	Nicardipine
0	0	    12	5.08+-6.75	Donepezil	Perphenazine
0	0	    14	1.36+-0.74	Naltrexone	Buprenorphine
0	0	     7	1.57+-1.13	Trospium	Fexofenadine
0	0	     3	1.33+-0.58	Cimetidine	Nitrendipine
0	0	    42	1.48+-0.89	Cilostazol	Itraconazole
0	0	    15	1.73+-1.33	Midazolam	Rifampicin
0	0	    28	1.21+-0.42	Lovastatin	Josamycin
0	0	     6	16+-13.16	Trihexyphenidyl	Galantamine
0	0	     3	3.67+-4.62	Clonidine	Nadolol
0	0	    12	8.67+-12.48	Cyclosporine	Oxcarbazepine
0	0	    38	1.13+-0.34	Theophylline	Acyclovir
0	0.01	    16	8.94+-11.1	Mercaptopurine	Acenocoumarol
0	0	     6	2+-0.63	Phenytoin	Capecitabine
