Rankp	Strength	Npats	Co-disp. length	Drug.1	Drug.2	RRi.fem	Severity
(850,3537)	0.06	    43	1.26+-0.73	Repaglinide	Josamycin	1.29	None
(936,18)	0.12	    22	1.41+-1.14	Theophylline	Terbinafine	0.93	Moderate
(389,1228)	0.15	    65	6.06+-10.73	Colestipol	Acenocoumarol	0.75	None
(222,15)	0.3	   444	12.31+-19.26	Phenytoin	Gabapentin	0.8	Moderate
(878,7473)	0.27	  2341	6.16+-10.09	Diltiazem	Amiodarone	0.8	Major
(1069,43)	0.1	     1	1+-NA	Acitretin	Minocycline	Inf	Major
(368,4526)	0.16	    46	4.52+-7.63	Cyclosporine	Sirolimus	0.33	Moderate
(319,1138)	0.32	     4	12+-14.67	Medroxyprogesterone acetate	Warfarin	Inf	None
(621,6134)	0.05	     4	1+-0	Piroxicam	Warfarin	0.93	Major
(244,151)	0.17	   319	5.55+-9.88	Atenolol	Ergotamine	2.6	Moderate
(984,547)	0.05	     7	1+-0	Felodipine	Josamycin	2.32	None
(1100,985)	0.14	    37	6.86+-9.34	Citalopram	Naratriptan	10.53	Major
(418,72)	0.22	   561	4.71+-7.45	Oxycodone	Escitalopram	1.9	Moderate
(738,128)	0.1	  1062	1.96+-2.99	Diclofenac	Warfarin	0.78	Major
(964,106)	0.27	    58	10.21+-17.62	Verapamil	Midazolam	1.64	Moderate
(1534,124)	0.26	   584	11.36+-18.68	Haloperidol	Carbamazepine	0.68	Moderate
(841,35)	0.25	     1	4+-NA	Buspirone	Rifampicin	Inf	Major
(644,1)	0.32	    35	10.51+-10.71	Prazosin	Propranolol	0.48	Moderate
(668,10)	0.19	     2	1+-0	Oxycodone	Cimetidine	0.93	Major
(492,57)	0.11	   166	1.51+-1.87	Fluconazole	Fluvastatin	1.13	Moderate
(1512,1667)	0.3	    15	8.4+-16.94	Fluvoxamine	Theophylline	1.86	Major
(1460,2)	0.2	   948	6.86+-8.27	Levothyroxine	Warfarin	2.09	Moderate
(616,50)	0.17	     1	7+-NA	Cimetidine	Halazepam	Inf	Moderate
(674,304)	0.1	   248	2.22+-4.94	Cyclosporine	Diclofenac	0.57	Moderate
(1181,2693)	0.2	  1243	7.42+-14.12	Atenolol	Diltiazem	0.89	Major
(1761,10049)	0.13	   179	1.23+-0.65	Midazolam	Clarithromycin	1.59	Moderate
(333,317)	0.16	    36	6.11+-9.05	Fluoxetine	Naratriptan	7.44	Major
(275,2)	0.17	    43	1.56+-1.3	Halazepam	Itraconazole	2.4	None
(409,5)	0.13	    27	1.52+-1.22	Nortriptyline	Terbutaline	2.21	Moderate
(1131,2)	0.21	    72	1.9+-1.58	Rifampicin	Amiodarone	0.66	Major
(248,1)	0.07	   955	1.33+-1.23	Betamethasone	Acetylsalicylic acid	0.97	Moderate
(282,79)	0.5	     1	1+-NA	Griseofulvin	Phenobarbital	0	Moderate
(519,56)	0.29	   283	10.94+-15.8	Ranolazine	Diltiazem	0.63	Major
(905,3)	0.14	    50	1.18+-0.52	Alprazolam	Telithromycin	2.17	Moderate
(556,13)	0.22	    11	10.18+-11.68	Nortriptyline	Galantamine	1.63	Moderate
(533,227)	0.07	    65	2.35+-7.22	Triamcinolone	Warfarin	0.96	Moderate
(253,46)	0.11	   180	1.66+-2.14	Tolterodine	Itraconazole	1.81	Moderate
(669,27)	0.16	     5	2.8+-4.02	Indomethacin	Bumetanide	1.39	Moderate
(362,13)	0.22	   103	6.46+-8.84	Gliclazide	Nadolol	0.54	None
(451,5)	0.4	  1307	1.26+-1.59	Prednisone	Itraconazole	1.21	Moderate
(1000,1275)	0.8	    11	1.82+-2.4	Sucralfate	Ketoconazole	0.53	Minor
(780,144)	0.01	     1	1+-NA	Entacapone	Epinephrine	Inf	Moderate
(1463,41)	0.14	   348	4.03+-7.17	Repaglinide	Glucosamine	1.07	None
(696,18923)	0.13	    26	1.73+-1.54	Fluconazole	Nortriptyline	3.9	Moderate
(425,3)	0.12	    78	1.38+-1.1	Fluconazole	Flurazepam	2.37	None
(295,5)	0.17	   518	4.59+-9.21	Fluoxetine	Ergotamine	5.41	Major
(1573,267)	0.19	   208	6.04+-9.2	Diltiazem	Carbamazepine	1.13	Major
(941,4550)	0.09	   358	1.49+-1.64	Warfarin	Norfloxacin	2.1	Major
(341,1)	0.24	    18	1.78+-1	Carbamazepine	Isoniazid	1.46	Moderate
(1067,3)	0.1	     5	2.2+-2.68	Ziprasidone	Ketoconazole	1.39	Major
(387,955)	0.28	    19	8.21+-7.35	Glyburide	Oxprenolol	2.01	None
(843,20)	0.27	   460	4.31+-10.1	Propranolol	Ergotamine	3.48	Moderate
(270,117)	0.14	     8	4.5+-5.24	Cimetidine	Nifedipine	0.93	Moderate
(938,1460)	0.06	  4906	1.44+-1.97	Norfloxacin	Acenocoumarol	2.05	None
(1414,79)	0.36	     8	1.38+-1.06	Ergotamine	Ketoconazole	1.55	Major
(294,613)	0.36	    53	1.58+-1.23	Morphine	Rifampicin	0.37	Moderate
(868,713)	0.17	    86	1.98+-1.9	Diltiazem	Rifampicin	0.81	Major
(1338,2132)	0.28	    72	9.89+-11.64	Clozapine	Fluoxetine	0.38	Moderate
(545,948)	0.23	  1793	8.98+-12.95	Glyburide	Carvedilol	0.56	Moderate
(820,11065)	0.3	   675	13+-16.67	Sertraline	Rasagiline	0.99	Major
(1497,643)	0.09	    43	1.37+-1.4	Digoxin	Minocycline	1.07	Moderate
(1357,8806)	0.08	    63	1.76+-2.34	Fluconazole	Cilostazol	0.18	Major
(1641,35)	0.06	     1	1+-NA	Phenylbutazone	Glyburide	0	Moderate
(589,30)	0.06	     1	3+-NA	Phenytoin	Phenylbutazone	0	None
(393,9)	0.17	     4	2+-1.41	Propranolol	Chlorpropamide	2.79	Moderate
(1084,12)	0.13	    81	5.42+-12.02	Lamotrigine	Norethisterone	36.71	Moderate
(771,30)	0.15	   153	1.37+-1.11	Torasemide	Gentamicin	1.86	Major
(1487,381)	0.31	   200	13.04+-17.36	Duloxetine	Rasagiline	1.52	Major
(414,275)	0.38	     4	1.25+-0.5	Triazolam	Itraconazole	0.93	Major
(602,68)	0.03	    28	1.21+-0.42	Lovastatin	Josamycin	0.93	None
(857,19)	0.13	   170	2.18+-3.93	Alendronic acid	Ketoprofen	12.24	Moderate
(1297,21)	0.22	     3	3.67+-4.62	Clonidine	Nadolol	1.86	Major
(454,45)	0.31	  5258	1.05+-0.37	Doxycycline	Amoxicillin	1.1	Moderate
(1149,16)	0.44	    13	1.08+-0.28	Phenoxymethylpenicillin	Minocycline	1.49	Moderate
(552,51)	0.19	   115	2.82+-4.44	Ergotamine	Nitroglycerin	1.39	Moderate
(242,23)	0.4	     4	4.25+-4.27	Itraconazole	Quazepam	2.79	None
(355,313)	0.13	   901	4.73+-8.08	Gliclazide	Glucosamine	1.12	None
(506,8)	0.28	   343	12.1+-15.87	Galantamine	Solifenacin	0.78	Moderate
(260,7)	0.15	     8	6.12+-10.15	Phenytoin	Norethisterone	Inf	None
(240,4)	0.24	  6035	10.72+-14.1	Bisoprolol	Repaglinide	0.72	Moderate
(342,17)	0.32	    14	1.36+-0.74	Naltrexone	Buprenorphine	0.15	Major
(518,82)	0.26	    13	1.77+-1.54	Glimepiride	Ketoconazole	0.8	None
(461,90)	0.08	   163	1.34+-0.83	Erythromycin	Lovastatin	1.83	Major
(642,552)	0.18	   860	5.11+-10.49	Zolmitriptan	Escitalopram	4.47	Major
(934,45)	0.29	 10201	6.57+-8.3	Digoxin	Spironolactone	1.36	Minor
(1018,543)	0.23	     5	14.6+-25.11	Repaglinide	Oxprenolol	0.62	None
(970,83)	0.24	     5	1.6+-0.89	Cyproheptadine	Rivastigmine	3.72	Moderate
(291,18)	0.5	   114	1.42+-1.23	Fluconazole	Rifampicin	0.81	Major
(257,11088)	0.24	   155	8.92+-13.4	Glipizide	Carvedilol	0.59	Moderate
(349,882)	0.08	     7	1+-0	Disopyramide	Levofloxacin	0.37	Major
(1076,562)	0.28	   122	1.57+-1.99	Pantoprazole	Ketoconazole	0.96	Moderate
(956,2897)	0.2	   101	6.51+-11.82	Pimozide	Escitalopram	1.11	Major
(677,308)	0.21	   107	8.96+-21.04	Pravastatin	Bezafibrate	0.82	None
(305,717)	0.4	   162	2.31+-4.75	Dihydroergotamine	Sumatriptan	2.57	Major
(567,2398)	0.08	   574	2.61+-5.27	Triamcinolone	Acenocoumarol	0.63	None
(322,566)	0.19	   517	2.91+-2.95	Raloxifene	Estriol	39.12	None
(869,270)	0.06	    40	1.77+-2.59	Ketoprofen	Acenocoumarol	0.62	None
(1136,518)	0.11	   115	1.69+-1.17	Rifampicin	Gliclazide	0.39	None
(396,17)	0.15	    25	2.48+-1.96	Warfarin	Rifampicin	0.36	Major
(1001,2940)	0.15	   529	6.31+-10.4	Hydrochlorothiazide	Lithium	1.53	Major
(693,415)	0.12	    27	5.22+-8.98	Phenytoin	Estradiol	5.34	Moderate
(439,36)	0.39	     5	31.6+-40.46	Cyclosporine	Ticlopidine	0.62	Moderate
(1537,896)	0.18	    19	2+-3	Eletriptan	Dihydroergotamine	3.49	Major
(1292,73)	0.37	    25	10.96+-14.25	Theophylline	Propafenone	0.44	Moderate
(877,35)	0.08	    50	1.52+-2.55	Erythromycin	Eplerenone	0.33	Moderate
(1221,1349)	0.09	133691	3.03+-5.5	Acetylsalicylic acid	Ibuprofen	0.88	Major
(521,49)	0.07	   866	1.97+-2.89	Acenocoumarol	Etoricoxib	0.99	None
(718,103)	0.07	    27	1.22+-0.7	Eplerenone	Itraconazole	0.27	Major
(1045,10)	0.25	    74	11.66+-16.2	Disopyramide	Bisoprolol	1.53	Major
(340,166)	0.18	   251	7.96+-16.64	Lovastatin	Gemfibrozil	0.8	Major
(708,3219)	0.35	     3	1+-0	Atropine	Galantamine	0.46	Moderate
(1739,2290)	0.16	 11619	5.84+-9.51	Bisoprolol	Formoterol	0.74	Moderate
(1657,136)	0.09	  1005	1.41+-1.57	Warfarin	Levofloxacin	0.7	Major
(317,851)	0.29	    18	20.44+-25.41	Ticlopidine	Carbamazepine	0.59	Moderate
(483,159)	0.17	    10	6.2+-11.6	Fluoxetine	Moclobemide	2.17	None
(1290,3276)	0.14	     6	5+-8	Theophylline	Nadolol	0.93	Major
(546,3120)	0.22	  7473	6.49+-8.84	Digoxin	Hydrochlorothiazide	1.69	Moderate
(456,212)	0.26	    61	9.31+-11.33	Trospium	Donepezil	2.61	Moderate
(946,98)	0.26	    48	1.81+-3.11	Esomeprazole	Ketoconazole	1.01	Moderate
(859,256)	0.16	     3	1+-0	Gentamicin	Bumetanide	1.86	Major
(1101,200)	0.13	     3	7.33+-10.97	Chlorpropamide	Repaglinide	1.86	None
(702,33)	0.16	    59	1.69+-0.95	Glyburide	Rifampicin	0.35	Moderate
(655,86)	0.26	 36543	14.44+-18.46	Acetylsalicylic acid	Gliclazide	0.61	None
(611,29)	0.18	    10	1.1+-0.32	Erythromycin	Eletriptan	8.37	Major
(649,43)	0.2	   405	1.49+-1.49	Esomeprazole	Itraconazole	1.78	Moderate
(555,42)	0.1	   179	2.07+-3.35	Ketoconazole	Atorvastatin	0.58	Major
(598,163)	0.13	     2	1+-0	Cimetidine	Itraconazole	0.93	Moderate
(388,9)	0.2	   136	6.49+-7.8	Trospium	Quetiapine	1.11	Moderate
(410,59)	0.87	     5	1+-0	Ceftazidime	Tobramycin	0.62	Moderate
(450,8)	0.08	     6	1.33+-0.52	Telithromycin	Amiodarone	0.46	Major
(299,1)	0.33	     1	3+-NA	Fluconazole	Vincristine	0	Moderate
(1473,71)	0.27	    36	10.31+-11.76	Disopyramide	Atenolol	1.04	Major
(292,517)	0.16	  9005	5.51+-8.03	Acetaminophen	Warfarin	0.98	Minor
(307,122)	0.16	    18	2.56+-4.27	Tenoxicam	Acenocoumarol	0.46	None
(774,44)	0.32	   876	20.58+-28.95	Topiramate	Carbamazepine	0.97	Moderate
(1396,124)	0.22	    51	9.73+-16.48	Frovatriptan	Sertraline	5	Major
(281,1302)	0.07	     2	3.5+-2.12	Donepezil	Pipotiazine	Inf	None
(1282,1)	0.25	    35	12.57+-22.02	Fluvoxamine	Imipramine	1.1	Major
(1637,39)	0.13	    73	1.56+-1.38	Propranolol	Epinephrine	2.02	Major
(972,89)	0.19	     1	4+-NA	Buspirone	Verapamil	0	Moderate
(455,16)	0.23	   116	8.69+-11.66	Propranolol	Maprotiline	2.34	Minor
(1031,5)	0.16	  9149	4.05+-8.17	Tramadol	Escitalopram	3.01	Major
(1052,41)	0.18	   101	5.77+-7.9	Fludrocortisone	Acenocoumarol	0.75	None
(709,2)	0.16	   465	4.49+-8.04	Sumatriptan	Escitalopram	3.77	Major
(274,726)	0.42	     2	1.5+-0.71	Ketoconazole	Rifampicin	Inf	Major
(1188,870)	0.24	   227	7.65+-12.28	Methylphenidate	Carbamazepine	0.58	None
(1428,561)	0.2	    65	12.11+-16.94	Warfarin	Phenobarbital	1.08	Major
(1505,6)	0.33	   168	11.14+-17.48	Phenytoin	Levodopa	0.7	Moderate
(495,89)	0.07	  4014	1.7+-2.61	Naproxen	Acenocoumarol	0.9	None
(904,4)	0.22	     8	2+-1.77	Fluconazole	Triazolam	2.79	Major
(1660,9)	0.2	    13	12+-16.1	Sulfasalazine	Mercaptopurine	2.09	Moderate
(343,1)	0.1	     5	1+-0	Fluconazole	Pimozide	3.72	Major
(1193,1)	0.08	     5	3.8+-5.22	Procainamide	Amiodarone	0	Major
(1215,8)	0.4	   227	14.31+-20.71	Trihexyphenidyl	Haloperidol	0.65	Moderate
(378,44)	0.09	    17	1.12+-0.33	Cyclosporine	Erythromycin	1.05	Major
(278,8)	0.13	   868	1.06+-0.29	Phenoxymethylpenicillin	Ethinylestradiol	Inf	Moderate
(471,1)	0.15	    52	1.6+-2.14	Amitriptyline	Ketoconazole	2.52	Moderate
(1224,2)	0.1	     4	1.5+-0.58	Rosiglitazone	Ketoconazole	0	Moderate
(1744,2)	0.02	     3	1+-0	Betamethasone	Primidone	0.46	Moderate
(748,3)	0.26	    38	8.05+-15.34	Nortriptyline	Carbamazepine	1.15	Moderate
(408,15)	0.21	   175	6.63+-13.56	Fluvoxamine	Amitriptyline	1.98	Major
(1126,8)	0.17	   874	5+-9.37	Sumatriptan	Paroxetine	4.96	Major
(444,2)	0.2	    13	8.77+-11.95	Fluvoxamine	Ropinirole	1.49	Moderate
(1216,3)	0.35	   436	23.33+-30.42	Phenytoin	Lamotrigine	0.66	Moderate
(974,13)	0.28	  1260	12.82+-18.67	Carbamazepine	Risperidone	0.67	Moderate
(283,584)	0.27	  4547	11.22+-16.16	Valproic acid	Acetylsalicylic acid	0.77	Moderate
(1617,685)	0.31	   188	13.35+-18.22	Phenytoin	Oxcarbazepine	0.59	Moderate
(502,4)	0.28	   156	2.51+-4.63	Ergotamine	Almotriptan	2.99	Major
(703,3437)	0.24	   199	1.19+-0.77	Diazepam	Ketoconazole	1.38	Moderate
(586,91)	0.17	    44	6.43+-10.09	Fluvoxamine	Rizatriptan	7.25	Major
(375,26)	0.15	    90	4.69+-6.42	Pioglitazone	Glucosamine	1.22	None
(1252,57)	0.04	     3	3+-2	Phenylbutazone	Acenocoumarol	0.46	None
(1466,130)	0.83	     3	1+-0	Ceftazidime	Amikacin	0.46	Moderate
(592,558)	0.2	     6	3+-1.26	Theophylline	Isoniazid	0.19	Moderate
(880,4315)	0.03	     9	1.11+-0.33	Torasemide	Amikacin	1.16	Major
(1652,195)	0.36	    26	13.42+-15.13	Ziprasidone	Galantamine	0.93	Moderate
(417,37)	0.24	  9894	11.95+-16.98	Acetylsalicylic acid	Insulin Detemir	0.89	Moderate
(931,576)	0.16	   145	1.36+-1.14	Doxycycline	Methotrexate	1.88	Moderate
(635,4)	0.05	   149	1.11+-0.39	Warfarin	Cloxacillin	0.76	Moderate
(1024,123)	0.13	   235	4.48+-8.44	Ticlopidine	Acetylsalicylic acid	0.43	Moderate
(1491,2)	0.18	 98427	7.32+-10.67	Acetaminophen	Acenocoumarol	1.08	None
(529,5)	0.13	    84	1.2+-0.43	Erythromycin	Carbamazepine	1.59	Major
(832,97)	0.18	   134	9.99+-12.87	Ramipril	Lithium	0.57	Moderate
(350,373)	0.19	    43	1.12+-0.32	Erythromycin	Ergotamine	2.4	Major
(327,618)	0.12	   640	3.06+-6.16	Phenytoin	Prednisone	0.75	Moderate
(726,1399)	0.71	     1	10+-NA	Cimetidine	Triazolam	0	Moderate
(1434,416)	0.16	   896	4.72+-8.61	Fluoxetine	Rizatriptan	9.1	Major
(406,1216)	0.21	    62	4.52+-8.49	Theophylline	Carbamazepine	0.67	Moderate
(501,599)	0.07	    10	1+-0	Warfarin	Ofloxacin	0.62	Major
(568,1041)	0.22	    21	6.24+-12.4	Trospium	Biperiden	0.7	Moderate
(345,15642)	0.29	    58	8.48+-16.12	Metoprolol	Diltiazem	0.81	Major
(580,4020)	0.34	   175	2.15+-4.73	Zolmitriptan	Dihydroergotamine	2.94	Major
(432,38)	0.14	    22	2.55+-3.16	Fluvoxamine	Sumatriptan	5.89	Major
(1656,11)	0.22	  1112	7.59+-11.14	Glimepiride	Gemfibrozil	0.38	Moderate
(334,22)	0.22	    25	7.72+-20.78	Lovastatin	Bezafibrate	1.98	None
(740,11)	0.54	   212	4.74+-4.8	Rifampicin	Clarithromycin	0.74	Moderate
(929,9)	0.09	   138	1.91+-3.05	Indomethacin	Warfarin	0.53	Major
(312,27)	0.21	     6	6.17+-8.06	Donepezil	Flavoxate	Inf	Moderate
(515,26)	0.12	     2	2.5+-0.71	Cimetidine	Rivastigmine	0	Moderate
(402,163)	0.22	   464	6.28+-8.2	Chlorthalidone	Digoxin	1.49	Moderate
(480,3)	0.22	     5	3+-3.94	Cyclophosphamide	Warfarin	0.62	Moderate
(600,13)	0.27	    69	8.99+-14.55	Citalopram	Pimozide	1.07	Major
(658,34)	0.1	    32	1.56+-1.08	Doxycycline	Insulin Glulisine	0.64	Moderate
(1658,2)	0.13	  9378	3.47+-8.17	Acetylsalicylic acid	Methylprednisolone aceponate	1	Moderate
(838,11)	0.09	    85	1.16+-0.57	Eletriptan	Clarithromycin	18.82	Major
(1034,7)	0.29	   834	15.38+-22.55	Tacrolimus	Nifedipine	0.46	Moderate
(1713,153)	0.3	    43	15.49+-20.71	Verapamil	Phenobarbital	1.74	Moderate
(825,6)	0.16	   118	2.18+-3.34	Labetalol	Salbutamol	5.16	Major
(316,1010)	0.4	     4	1+-0	Almotriptan	Ketoconazole	Inf	Moderate
(1705,31)	0.12	    53	3+-5.71	Rifampicin	Nifedipine	0.52	Major
(371,35)	0.11	   974	2.6+-4.78	Cyclosporine	Ibuprofen	0.71	Moderate
(1116,2)	0.22	     1	10+-NA	Hydromorphone	Naltrexone	0	Major
(751,51)	0.08	    31	2.81+-3.94	Metoprolol	Lidocaine	3.19	Moderate
(360,19)	0.09	   126	2.37+-4.75	Piroxicam	Bisoprolol	1.06	Moderate
(1517,40)	0.24	 22535	10.83+-14.33	Acetylsalicylic acid	Glyburide	0.65	Moderate
(1465,52)	0.06	     9	2.78+-2.59	Nortriptyline	Terbinafine	3.25	Moderate
(430,2)	0.25	    22	2.59+-2.86	Dihydroergotamine	Isosorbide mononitrate	1.12	Moderate
(346,126)	0.21	    56	1.8+-2.26	Eletriptan	Ergotamine	3.07	Major
(1172,205)	0.25	    90	2.38+-5.36	Hydrocortisone	Cholestyramine	1.22	Moderate
(534,4)	0.12	    45	1.51+-1.1	Telithromycin	Atorvastatin	0.68	Major
(488,42)	0.07	    46	2.26+-4.03	Meloxicam	Lithium	2.12	Major
(453,3)	0.11	   364	1.14+-0.49	Carbamazepine	Clarithromycin	1.06	Major
(331,4)	0.05	     4	3+-2.83	Conjugated estrogens	Ursodeoxycholic acid	Inf	None
(1227,49)	0.16	     2	1+-0	Buspirone	Clarithromycin	Inf	Moderate
(377,949)	0.11	    60	1.48+-0.87	Fluconazole	Halazepam	2.79	None
(1114,81)	0.26	   431	7.35+-9.46	Olanzapine	Rivastigmine	1.33	Moderate
(680,19)	0.09	    18	2.72+-4.35	Salbutamol	Oxprenolol	1.86	None
(442,216)	0.23	    91	3.3+-5.5	Haloperidol	Glycopyrronium	0.23	Moderate
(618,456)	0.24	  1197	11.24+-15.54	Lovastatin	Acenocoumarol	1.06	None
(477,273)	0.04	     2	2+-1.41	Amitriptyline	Rifamycin	0.93	None
(732,2524)	0.29	   550	1.79+-1.99	Prednisone	Rifampicin	0.66	Moderate
(791,1)	0.21	   193	1.79+-1.36	Fentanyl	Rifampicin	0.81	Major
(745,94)	0.16	   151	1.4+-3.03	Digoxin	Itraconazole	1.37	Major
(514,21)	0.16	    94	6.04+-8.37	Methotrexate	Flurbiprofen	1.1	Major
(381,4791)	0.16	    10	1+-0	Prednisolone	Rifampicin	0.62	Moderate
(733,56)	0.14	     4	6.5+-10.34	Piroxicam	Lithium	0.93	Major
(688,3228)	0.14	     5	1.8+-1.79	Fosinopril	Lithium	0.62	Moderate
(485,16)	0.18	  1334	5.79+-10.32	Propranolol	Salmeterol	0.88	Major
(897,238)	0.13	    98	1.86+-2.71	Trospium	Loratadine	3.03	None
(849,5377)	0.36	     3	6+-5	Procyclidine	Haloperidol	Inf	Moderate
(1329,6392)	0.3	    16	13.94+-22.17	Paroxetine	Moclobemide	1.2	None
(637,340)	0.2	    77	5.06+-8.84	Carbamazepine	Bupropion	0.82	Moderate
(628,94)	0.13	   163	3.44+-6.68	Nortriptyline	Salbutamol	2.1	Moderate
(627,1618)	0.12	    24	2.38+-4.28	Indomethacin	Sotalol	0.24	Moderate
(692,2207)	0.27	    84	5.95+-7.95	Trospium	Tiotropium	0.39	Moderate
(1412,89)	0.05	     4	1.25+-0.5	Pimozide	Itraconazole	0.93	Major
(337,876)	0.14	     1	1+-NA	Donepezil	Promethazine	Inf	Moderate
(1113,1609)	0.14	     8	4.38+-5.01	Carbamazepine	Doxepin	1.55	Moderate
(788,4015)	0.26	   136	17.11+-24.31	Cyclosporine	Ezetimibe	0.43	Moderate
(373,4)	0.19	     3	11+-5.57	Phenytoin	Conjugated estrogens	Inf	Moderate
(1663,119)	0.2	     3	19+-31.18	Donepezil	Periciazine	0.46	None
(384,62)	0.23	    59	9.24+-16.82	Colestipol	Ursodeoxycholic acid	2.12	None
(991,144)	0.47	     3	10.67+-16.74	Clonidine	Labetalol	0	Major
(588,44)	0.18	   160	7.68+-13.27	Metoprolol	Salmeterol	0.69	Moderate
(855,1260)	0.05	   156	1.24+-0.94	Metronidazole	Lithium	1.86	Moderate
(1706,277)	0.11	 18777	3.55+-6.87	Bisoprolol	Salbutamol	0.85	Moderate
(484,18)	0.22	   267	3.94+-5.99	Trimethoprim	Methotrexate	1.12	Major
(489,1)	0.22	   287	9.77+-14.69	Paroxetine	Propafenone	2.78	Moderate
(803,11)	0.22	   146	7.79+-14.03	Metoprolol	Fluoxetine	2.38	Moderate
(1609,20)	0.12	    45	1.2+-0.46	Imipramine	Pseudoephedrine	2.87	None
(1014,11)	0.26	    26	1.5+-1.21	Haloperidol	Ketoconazole	1.27	Major
(405,92)	0.23	    21	6.48+-8.65	Trospium	Clomipramine	1.51	Moderate
(1736,2018)	0.24	  2251	11.72+-17.35	Paroxetine	Carvedilol	1.43	Moderate
(573,932)	0.16	    47	4.94+-7.3	Captopril	Lithium	1.25	Moderate
(412,8)	0.1	    17	2.12+-2.52	Phenytoin	Estriol	14.87	None
(437,77)	0.25	    81	16.37+-22.88	Metoprolol	Repaglinide	0.74	Moderate
(383,144)	0.19	   100	9.36+-12.02	Cyclosporine	Amiodarone	0.5	Moderate
(464,1845)	0.02	     2	1+-0	Erythromycin	Everolimus	0.93	Major
(1147,364)	0.23	   128	12.27+-19.94	Fluvoxamine	Carbamazepine	0.82	Moderate
(1212,301)	0.49	     9	17.89+-19.88	Disopyramide	Propranolol	0.46	Major
(615,29)	0.43	     7	1.14+-0.38	Erythromycin	Bromocriptine	5.58	Moderate
(536,2)	0.29	    62	2.53+-3.68	Indomethacin	Nadolol	2.67	Moderate
(645,730)	0.2	    37	5.14+-9.22	Phenytoin	Sucralfate	0.79	Moderate
(564,419)	0.21	   114	6.6+-12.17	Propranolol	Propafenone	1.32	Moderate
(365,16)	0.31	     4	2.75+-2.87	Phenytoin	Ethinylestradiol	Inf	Major
(1029,182)	0.17	    28	7.14+-7.13	Galantamine	Glycopyrronium	0.25	None
(364,73)	0.27	  6577	7.17+-7.58	Rivastigmine	Quetiapine	1.36	Moderate
(741,4)	0.17	  2424	1.68+-1.66	Acetaminophen	Isoniazid	0.79	Moderate
(785,460)	0.11	    38	1.63+-1.28	Epinephrine	Clomipramine	1.59	Major
(730,3970)	0.24	  4528	6.42+-10.55	Paroxetine	Risperidone	1.45	Moderate
(1112,502)	0.28	   536	1.36+-1.2	Diclofenac	Rifampicin	0.66	Moderate
(605,519)	0.13	    38	1.13+-0.34	Theophylline	Acyclovir	0.54	Minor
(474,588)	0.18	    54	10.13+-14.26	Cyclosporine	Rosuvastatin	0.55	Major
(352,116)	0.08	     1	1+-NA	Carteolol	Ibuprofen	Inf	Moderate
(1178,1334)	0.24	  2398	7.14+-12.57	Fluoxetine	Propranolol	3	Moderate
(354,2233)	0.08	     1	1+-NA	Rivastigmine	Diphenhydramine	Inf	Moderate
(800,1670)	0.15	    20	5.35+-11.25	Metoprolol	Dihydroergotamine	5.27	Moderate
(1200,3487)	0.04	     1	1+-NA	Clozapine	Modafinil	0	Moderate
(570,830)	0.62	     2	1+-0	Cimetidine	Ketoconazole	0.93	Moderate
(578,78)	0.1	  1216	1.42+-1.34	Ciprofloxacin	Warfarin	0.64	Major
(1141,14980)	0.53	   408	1.17+-1.05	Erythromycin	Methylprednisolone aceponate	1.78	Moderate
(1413,2)	0.2	    94	2.87+-4.9	Phenobarbital	Dexamethasone	0.69	Moderate
(1330,81)	0.21	   106	6.75+-9.7	Digoxin	Hydroxychloroquine	1.73	Moderate
(1725,3056)	0.18	    28	8.04+-10.57	Labetalol	Gliclazide	0.93	None
(1015,1415)	0.38	     1	3+-NA	Cimetidine	Doxepin	Inf	Moderate
(1399,261)	0.24	    74	1.18+-0.58	Erythromycin	Tacrolimus	1.09	Major
(1108,2599)	0.16	    43	2.81+-3.86	Chlorpromazine	Donepezil	0.55	Moderate
(1142,114)	0.1	   236	1.86+-2.63	Cyclosporine	Naproxen	1.08	Moderate
(1446,142)	0.14	     1	1+-NA	Buspirone	Itraconazole	Inf	Moderate
(1377,1)	0.26	  4526	4.35+-6.35	Digoxin	Amiodarone	0.87	Major
(511,3)	0.09	  1570	1.47+-1.13	Atorvastatin	Itraconazole	0.74	Major
(1543,42)	0.22	  3276	8.49+-12.18	Fluoxetine	Acenocoumarol	1.68	None
(528,18)	0.15	     9	3.11+-3.3	Fluvoxamine	Eletriptan	Inf	Major
(452,1)	0.15	  1670	4.44+-8.21	Propranolol	Formoterol	1.09	Major
(906,3)	0.11	     2	1+-0	Trimipramine	Pseudoephedrine	0.93	None
(443,20)	0.24	    23	10.22+-9.26	Imipramine	Rivastigmine	2.12	Moderate
(763,17416)	0.46	    65	2.06+-3.11	Rifampicin	Dexamethasone	0.66	Moderate
(723,2673)	0.15	   144	4.99+-8.52	Allopurinol	Azathioprine	0.29	Major
(1365,1000)	0.35	    12	4.33+-4.25	Rifampicin	Bupropion	0.46	Moderate
(884,971)	0.18	   197	8.35+-17.31	Phenytoin	Hydrocortisone	0.71	Moderate
(372,115)	0.01	     1	1+-NA	Phenylephrine	Rasagiline	Inf	Moderate
(656,17170)	0.22	    91	6.09+-8.35	Glyburide	Nadolol	0.58	Moderate
(663,1062)	0.24	    16	9.25+-16.31	Cyclosporine	Phenytoin	0.56	Moderate
